Doc-ID,Token-Count,Sentence-Count,Initial-Cas-bytes
152536242,95,8,14800
152552147,18,1,7655
152636934,100,15,15627
152648716,136,5,18059
15267122,362,13,38336
15271280,134,5,17734
15277396,151,7,19483
15279537,154,3,19514
152796,66,2,11759
152801631,111,4,15824
15280748,74,4,12685
152822393,58,6,11363
15283265,194,9,23298
152832664,77,13,13551
152855840,270,21,30925
152872418,234,8,26808
15294630,60,2,11276
15295965,245,9,27754
15296285,71,2,12172
152981753,63,4,11560
153046752,223,7,25575
15306741,120,3,16476
15308521,108,4,15537
15309946,44,2,9893
153104791,406,43,44203
153125091,204,5,24104
153149172,119,5,16600
153153434,97,4,14654
153213053,49,2,10292
15321834,247,9,28050
15329194,164,7,20512
15331109,50,3,10485
153311281,265,13,29927
153313996,226,10,26254
15332134,224,6,25630
15332990,228,8,26360
153358512,81,1,13116
15344314,128,5,17295
15345412,170,4,20795
153472711,146,35,21048
15351447,54,3,10786
15362750,296,10,32278
1537155,252,7,27835
15378690,159,7,20104
15388531,124,4,16986
15390123,245,10,27808
15391141,349,15,37433
15398926,49,2,10286
15418091,153,7,19597
15424866,112,3,15832
15431224,104,5,15253
15431741,67,2,11775
15434109,89,3,13894
